airline,source,destination,route,duration,total_stops,price,year,month,day,day_name,holiday,season,dep_hour,dep_minute,dep_time,arrival_hour,arrival_minute,arrival_time
Air Asia,Banglore,Delhi,BLR → DEL,170,0,3383,2019,5,15,Wednesday,0,Summer,23,55,Night,2,45,Late Night
GoAir,Delhi,Cochin,DEL → AMD → COK,370,1,5842,2019,6,15,Saturday,1,Rainy,7,25,Early Morning,13,35,Afternoon
Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,900,2,16704,2019,5,18,Saturday,1,Summer,13,25,Afternoon,4,25,Early Morning
SpiceJet,Mumbai,Hyderabad,BOM → HYD,90,0,1965,2019,9,5,Thursday,0,Rainy,5,45,Early Morning,7,15,Early Morning
SpiceJet,Kolkata,Banglore,CCU → BLR,150,0,3873,2019,6,6,Thursday,0,Rainy,17,10,Evening,19,40,Evening
Jet Airways,Banglore,Delhi,BLR → BOM → DEL,740,1,27992,2019,1,3,Thursday,0,Winter,8,0,Morning,20,20,Night
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,460,1,10678,2019,6,6,Thursday,0,Rainy,4,55,Early Morning,12,35,Afternoon
Air India,Banglore,Delhi,BLR → BOM → DEL,865,1,6824,2019,3,21,Thursday,0,Summer,8,50,Morning,23,15,Night
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,730,1,13378,2019,3,21,Thursday,0,Summer,7,5,Early Morning,19,15,Evening
IndiGo,Banglore,Delhi,BLR → DEL,170,0,3943,2019,1,5,Saturday,1,Winter,4,0,Early Morning,6,50,Early Morning
IndiGo,Delhi,Cochin,DEL → BOM → COK,575,1,7191,2019,5,18,Saturday,1,Summer,11,25,Morning,21,0,Night
SpiceJet,Banglore,Delhi,BLR → DEL,160,0,3625,2019,6,27,Thursday,0,Rainy,5,55,Early Morning,8,35,Morning
GoAir,Delhi,Cochin,DEL → AMD → COK,370,1,6841,2019,5,27,Monday,0,Summer,7,25,Early Morning,13,35,Afternoon
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,390,1,11134,2019,3,24,Sunday,1,Summer,16,55,Evening,23,25,Night
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1550,1,14571,2019,6,6,Thursday,0,Rainy,18,55,Evening,20,45,Night
Jet Airways,Banglore,Delhi,BLR → DEL,180,0,4544,2019,4,21,Sunday,1,Summer,17,45,Evening,20,45,Night
SpiceJet,Kolkata,Banglore,CCU → BLR,150,0,5515,2019,3,3,Sunday,1,Summer,9,0,Morning,11,30,Morning
IndiGo,Kolkata,Banglore,CCU → BLR,155,0,4804,2019,6,27,Thursday,0,Rainy,4,40,Early Morning,7,15,Early Morning
IndiGo,Chennai,Kolkata,MAA → CCU,140,0,3597,2019,12,6,Friday,0,Winter,13,15,Afternoon,15,35,Afternoon
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,795,1,15353,2019,6,3,Monday,0,Rainy,6,0,Early Morning,19,15,Evening
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,590,1,9899,2019,12,6,Friday,0,Winter,6,30,Early Morning,16,20,Evening
Jet Airways,Banglore,Delhi,BLR → BOM → DEL,745,1,13817,2019,12,3,Tuesday,0,Winter,8,55,Morning,21,20,Night
Jet Airways,Delhi,Cochin,DEL → BOM → COK,330,1,16289,2019,12,6,Friday,0,Winter,7,5,Early Morning,12,35,Afternoon
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,910,1,9663,2019,5,15,Wednesday,0,Summer,18,55,Evening,10,5,Morning
Air Asia,Kolkata,Banglore,CCU → BLR,155,0,4384,2019,3,18,Monday,0,Summer,10,20,Morning,12,55,Afternoon
Jet Airways,Delhi,Cochin,DEL → BOM → COK,600,1,14714,2019,12,6,Friday,0,Winter,9,0,Morning,19,0,Evening
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,875,1,14388,2019,5,21,Tuesday,0,Summer,14,5,Afternoon,4,40,Early Morning
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,455,1,10877,2019,6,15,Saturday,1,Rainy,11,25,Morning,19,0,Evening
IndiGo,Delhi,Cochin,DEL → BOM → COK,810,1,7191,2019,6,5,Wednesday,0,Rainy,7,30,Early Morning,21,0,Night
IndiGo,Delhi,Cochin,DEL → HYD → COK,895,1,6442,2019,6,15,Saturday,1,Rainy,7,35,Early Morning,22,30,Night
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1655,1,10262,2019,6,27,Thursday,0,Rainy,9,0,Morning,12,35,Afternoon
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,570,1,13626,2019,12,6,Friday,0,Winter,14,5,Afternoon,23,35,Night
IndiGo,Kolkata,Banglore,CCU → BLR,155,0,4804,2019,4,27,Saturday,1,Summer,4,40,Early Morning,7,15,Early Morning
IndiGo,Delhi,Cochin,DEL → COK,185,0,5406,2019,3,21,Thursday,0,Summer,14,30,Afternoon,17,35,Evening
SpiceJet,Delhi,Cochin,DEL → BLR → COK,295,1,4611,2019,3,4,Monday,0,Summer,17,55,Evening,22,50,Night
IndiGo,Kolkata,Banglore,CCU → MAA → BLR,290,1,5069,2019,9,6,Friday,0,Rainy,8,10,Morning,13,0,Afternoon
GoAir,Banglore,Delhi,BLR → DEL,175,0,3898,2019,6,6,Thursday,0,Rainy,7,45,Early Morning,10,40,Morning
IndiGo,Mumbai,Hyderabad,BOM → HYD,90,0,2754,2019,6,6,Thursday,0,Rainy,12,0,Afternoon,13,30,Afternoon
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,630,1,6943,2019,5,27,Monday,0,Summer,15,0,Afternoon,1,30,Late Night
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,750,1,14781,2019,5,18,Saturday,1,Summer,5,45,Early Morning,18,15,Evening
Jet Airways,Delhi,Cochin,DEL → BOM → COK,360,1,16079,2019,5,21,Tuesday,0,Summer,13,0,Afternoon,19,0,Evening
IndiGo,Banglore,Delhi,BLR → DEL,170,0,8033,2019,3,15,Friday,0,Summer,16,55,Evening,19,45,Evening
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,455,1,6953,2019,3,27,Wednesday,0,Summer,11,40,Morning,19,15,Evening
IndiGo,Banglore,Delhi,BLR → DEL,175,0,4823,2019,12,5,Thursday,0,Winter,7,10,Early Morning,10,5,Morning
IndiGo,Kolkata,Banglore,CCU → BLR,155,0,4174,2019,9,4,Wednesday,0,Rainy,4,40,Early Morning,7,15,Early Morning
Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,1775,2,12819,2019,6,27,Thursday,0,Rainy,13,25,Afternoon,19,0,Evening
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,450,1,9663,2019,5,15,Wednesday,0,Summer,21,10,Night,4,40,Early Morning
SpiceJet,Kolkata,Banglore,CCU → BLR,155,0,3841,2019,3,5,Tuesday,0,Summer,6,55,Early Morning,9,30,Morning
IndiGo,Delhi,Cochin,DEL → COK,195,0,5000,2019,6,27,Thursday,0,Rainy,5,35,Early Morning,8,50,Morning
Air India,Banglore,Delhi,BLR → CCU → GAU → DEL,980,2,13366,2019,1,3,Thursday,0,Winter,5,50,Early Morning,22,10,Night
Air India,Kolkata,Banglore,CCU → GAU → BLR,1700,1,7452,2019,5,15,Wednesday,0,Summer,16,45,Evening,21,5,Night
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1395,1,15554,2019,5,18,Saturday,1,Summer,19,45,Evening,19,0,Evening
IndiGo,Kolkata,Banglore,CCU → BLR,155,0,6565,2019,1,3,Thursday,0,Winter,15,10,Afternoon,17,45,Evening
SpiceJet,Mumbai,Hyderabad,BOM → HYD,90,0,1965,2019,5,24,Friday,0,Summer,5,45,Early Morning,7,15,Early Morning
SpiceJet,Chennai,Kolkata,MAA → CCU,155,0,3332,2019,3,27,Wednesday,0,Summer,9,30,Morning,12,5,Afternoon
IndiGo,Banglore,Delhi,BLR → LKO → DEL,285,1,6208,2019,3,21,Thursday,0,Summer,5,25,Early Morning,10,10,Morning
Jet Airways,Banglore,Delhi,BLR → BOM → DEL,380,1,12284,2019,3,18,Monday,0,Summer,8,55,Morning,15,15,Afternoon
Air India,Delhi,Cochin,DEL → MAA → COK,965,1,7480,2019,5,27,Monday,0,Summer,17,20,Evening,9,25,Morning
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1365,1,14151,2019,6,6,Thursday,0,Rainy,20,25,Night,19,10,Evening
IndiGo,Kolkata,Banglore,CCU → BLR,155,0,4804,2019,6,21,Friday,0,Rainy,17,15,Evening,19,50,Evening
IndiGo,Delhi,Cochin,DEL → BOM → COK,300,1,6069,2019,5,18,Saturday,1,Summer,16,0,Evening,21,0,Night
Vistara,Banglore,Delhi,BLR → AMD → DEL,915,1,6065,2019,3,21,Thursday,0,Summer,6,40,Early Morning,21,55,Night
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,800,1,14151,2019,5,18,Saturday,1,Summer,20,25,Night,9,45,Morning
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1025,1,14231,2019,3,24,Sunday,1,Summer,18,55,Evening,12,0,Afternoon
IndiGo,Delhi,Cochin,DEL → MAA → COK,325,1,5636,2019,4,24,Wednesday,0,Summer,2,0,Late Night,7,25,Early Morning
Air India,Delhi,Cochin,DEL → BLR → COK,320,1,5232,2019,6,4,Tuesday,0,Rainy,17,40,Evening,23,0,Night
IndiGo,Chennai,Kolkata,MAA → CCU,140,0,3850,2019,6,5,Wednesday,0,Rainy,7,55,Early Morning,10,15,Morning
Air India,Delhi,Cochin,DEL → BLR → COK,955,1,7258,2019,5,27,Monday,0,Summer,17,40,Evening,9,35,Morning
IndiGo,Mumbai,Hyderabad,BOM → HYD,90,0,2227,2019,6,18,Tuesday,0,Rainy,21,20,Night,22,50,Night
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,930,1,13377,2019,6,24,Monday,0,Rainy,10,0,Morning,1,30,Late Night
Jet Airways,Banglore,Delhi,BLR → DEL,180,0,8016,2019,12,6,Friday,0,Winter,8,20,Morning,11,20,Morning
IndiGo,Banglore,Delhi,BLR → DEL,170,0,6860,2019,3,21,Thursday,0,Summer,16,55,Evening,19,45,Evening
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1415,1,11627,2019,6,6,Thursday,0,Rainy,13,0,Afternoon,12,35,Afternoon
SpiceJet,Kolkata,Banglore,CCU → BLR,150,0,4174,2019,9,6,Friday,0,Rainy,17,10,Evening,19,40,Evening
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,690,1,14151,2019,12,5,Thursday,0,Winter,9,35,Morning,21,5,Night
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1620,1,12898,2019,5,27,Monday,0,Summer,16,0,Evening,19,0,Evening
Jet Airways,Delhi,Cochin,DEL → BOM → COK,395,1,12373,2019,5,18,Saturday,1,Summer,21,50,Night,4,25,Early Morning
IndiGo,Banglore,Delhi,BLR → DEL,170,0,3943,2019,6,18,Tuesday,0,Rainy,10,10,Morning,13,0,Afternoon
Air Asia,Kolkata,Banglore,CCU → IXR → DEL → BLR,500,2,7870,2019,9,6,Friday,0,Rainy,15,10,Afternoon,23,30,Night
Jet Airways,Banglore,Delhi,BLR → DEL,185,0,8016,2019,6,18,Tuesday,0,Rainy,18,55,Evening,22,0,Night
Air India,Delhi,Cochin,DEL → HYD → MAA → COK,1220,2,10975,2019,5,15,Wednesday,0,Summer,13,5,Afternoon,9,25,Morning
IndiGo,Chennai,Kolkata,MAA → CCU,140,0,3850,2019,5,27,Monday,0,Summer,7,55,Early Morning,10,15,Morning
IndiGo,Kolkata,Banglore,CCU → BLR,165,0,4804,2019,6,18,Tuesday,0,Rainy,20,25,Night,23,10,Night
SpiceJet,Kolkata,Banglore,CCU → BLR,160,0,4465,2019,3,18,Monday,0,Summer,6,55,Early Morning,9,35,Morning
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,675,1,19332,2019,9,3,Tuesday,0,Rainy,8,0,Morning,19,15,Evening
SpiceJet,Kolkata,Banglore,CCU → BLR,150,0,3841,2019,6,21,Friday,0,Rainy,17,10,Evening,19,40,Evening
IndiGo,Banglore,Delhi,BLR → DEL,170,0,4591,2019,12,4,Wednesday,0,Winter,10,10,Morning,13,0,Afternoon
IndiGo,Kolkata,Banglore,CCU → HYD → BLR,290,1,5192,2019,5,24,Friday,0,Summer,15,15,Afternoon,20,5,Night
Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,535,2,15129,2019,5,18,Saturday,1,Summer,19,30,Evening,4,25,Early Morning
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,780,1,11789,2019,6,6,Thursday,0,Rainy,6,0,Early Morning,19,0,Evening
Air India,Delhi,Cochin,DEL → BOM → COK,640,1,8372,2019,6,15,Saturday,1,Rainy,21,0,Night,7,40,Early Morning
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,795,1,8266,2019,9,5,Thursday,0,Rainy,6,0,Early Morning,19,15,Evening
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,800,1,14781,2019,6,5,Wednesday,0,Rainy,6,30,Early Morning,19,50,Evening
Vistara,Banglore,Delhi,BLR → DEL,155,0,5613,2019,4,21,Sunday,1,Summer,17,0,Evening,19,35,Evening
Jet Airways,Banglore,Delhi,BLR → DEL,175,0,7229,2019,4,24,Wednesday,0,Summer,15,15,Afternoon,18,10,Evening
IndiGo,Delhi,Cochin,DEL → BOM → COK,750,1,6093,2019,6,24,Monday,0,Rainy,8,30,Morning,21,0,Night
Jet Airways,Delhi,Cochin,DEL → BHO → BOM → COK,425,2,15544,2019,5,21,Tuesday,0,Summer,5,30,Early Morning,12,35,Afternoon
GoAir,Delhi,Cochin,DEL → AMD → COK,370,1,6296,2019,5,18,Saturday,1,Summer,7,25,Early Morning,13,35,Afternoon
IndiGo,Kolkata,Banglore,CCU → BLR,165,0,4804,2019,4,27,Saturday,1,Summer,9,35,Morning,12,20,Afternoon
Air Asia,Banglore,Delhi,BLR → DEL,170,0,4284,2019,3,18,Monday,0,Summer,5,50,Early Morning,8,40,Morning
IndiGo,Delhi,Cochin,DEL → HYD → COK,885,1,6558,2019,3,21,Thursday,0,Summer,7,35,Early Morning,22,20,Night
IndiGo,Delhi,Cochin,DEL → LKO → COK,345,1,5775,2019,6,24,Monday,0,Rainy,21,50,Night,3,35,Late Night
SpiceJet,Chennai,Kolkata,MAA → CCU,135,0,3543,2019,6,21,Friday,0,Rainy,8,20,Morning,10,35,Morning
Jet Airways,Delhi,Cochin,DEL → BOM → COK,535,1,17024,2019,6,3,Monday,0,Rainy,9,55,Morning,18,50,Evening
Jet Airways,Mumbai,Hyderabad,BOM → HYD,85,0,4050,2019,9,6,Friday,0,Rainy,7,5,Early Morning,8,30,Morning
Jet Airways,Banglore,Delhi,BLR → BOM → DEL,405,1,26890,2019,1,3,Thursday,0,Winter,11,40,Morning,18,25,Evening
Air India,Delhi,Cochin,DEL → AMD → BOM → COK,1410,2,9653,2019,6,15,Saturday,1,Rainy,19,45,Evening,19,15,Evening
IndiGo,Banglore,Delhi,BLR → DEL,165,0,3943,2019,6,21,Friday,0,Rainy,6,5,Early Morning,8,50,Morning
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1575,1,10844,2019,5,18,Saturday,1,Summer,14,5,Afternoon,16,20,Evening
IndiGo,Mumbai,Hyderabad,BOM → HYD,90,0,2754,2019,12,6,Friday,0,Winter,1,40,Late Night,3,10,Late Night
Air India,Delhi,Cochin,DEL → CCU → BOM → COK,2185,2,10756,2019,3,21,Thursday,0,Summer,6,50,Early Morning,19,15,Evening
Jet Airways,Kolkata,Banglore,CCU → DEL → BLR,1685,1,14151,2019,5,21,Tuesday,0,Summer,17,0,Evening,21,5,Night
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,740,1,9899,2019,12,6,Friday,0,Winter,8,25,Morning,20,45,Night
Jet Airways,Delhi,Cochin,DEL → BOM → COK,385,1,12242,2019,3,21,Thursday,0,Summer,22,0,Night,4,25,Early Morning
IndiGo,Mumbai,Hyderabad,BOM → HYD,90,0,5755,2019,5,24,Friday,0,Summer,9,10,Morning,10,40,Morning
Jet Airways,Delhi,Cochin,DEL → BOM → COK,610,1,10262,2019,6,15,Saturday,1,Rainy,18,15,Evening,4,25,Early Morning
SpiceJet,Kolkata,Banglore,CCU → PNQ → BLR,520,1,6643,2019,6,6,Thursday,0,Rainy,8,35,Morning,17,15,Evening
Multiple carriers Premium economy,Delhi,Cochin,DEL → BOM → COK,810,1,9845,2019,3,21,Thursday,0,Summer,7,30,Early Morning,21,0,Night
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1025,1,11134,2019,3,24,Sunday,1,Summer,18,55,Evening,12,0,Afternoon
SpiceJet,Delhi,Cochin,DEL → MAA → COK,315,1,5583,2019,1,6,Sunday,1,Winter,6,5,Early Morning,11,20,Morning
IndiGo,Delhi,Cochin,DEL → BOM → COK,300,1,6069,2019,5,15,Wednesday,0,Summer,16,0,Evening,21,0,Night
Jet Airways,Banglore,Delhi,BLR → BOM → DEL,875,1,13817,2019,12,3,Tuesday,0,Winter,5,45,Early Morning,20,20,Night
Air India,Kolkata,Banglore,CCU → GAU → BLR,675,1,7795,2019,3,24,Sunday,1,Summer,9,50,Morning,21,5,Night
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,440,1,13977,2019,9,3,Tuesday,0,Rainy,0,20,Late Night,7,40,Early Morning
IndiGo,Kolkata,Banglore,CCU → BLR,160,0,6038,2019,3,3,Sunday,1,Summer,20,25,Night,23,5,Night
IndiGo,Delhi,Cochin,DEL → COK,195,0,5601,2019,5,21,Tuesday,0,Summer,5,35,Early Morning,8,50,Morning
IndiGo,Delhi,Cochin,DEL → BOM → COK,810,1,12351,2019,9,3,Tuesday,0,Rainy,7,30,Early Morning,21,0,Night
Air India,Delhi,Cochin,DEL → COK,170,0,6094,2019,4,15,Monday,0,Summer,5,10,Early Morning,8,0,Morning
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,520,1,7575,2019,5,15,Wednesday,0,Summer,10,35,Morning,19,15,Evening
Jet Airways,Delhi,Cochin,DEL → BOM → COK,395,1,16079,2019,5,27,Monday,0,Summer,21,50,Night,4,25,Early Morning
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1425,1,10262,2019,6,15,Saturday,1,Rainy,19,15,Evening,19,0,Evening
Air Asia,Delhi,Cochin,DEL → BLR → COK,340,1,13470,2019,9,6,Friday,0,Rainy,16,45,Evening,22,25,Night
Jet Airways,Banglore,Delhi,BLR → DEL,175,0,8016,2019,6,27,Thursday,0,Rainy,11,10,Morning,14,5,Afternoon
Jet Airways,Delhi,Cochin,DEL → BOM → COK,520,1,10262,2019,6,6,Thursday,0,Rainy,19,45,Evening,4,25,Early Morning
IndiGo,Banglore,Delhi,BLR → DEL,175,0,4823,2019,6,27,Thursday,0,Rainy,18,25,Evening,21,20,Night
Vistara,Banglore,Delhi,BLR → DEL,170,0,5403,2019,9,4,Wednesday,0,Rainy,9,45,Morning,12,35,Afternoon
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1530,1,12373,2019,5,18,Saturday,1,Summer,17,30,Evening,19,0,Evening
SpiceJet,Mumbai,Hyderabad,BOM → JLR → HYD,495,1,13552,2019,6,3,Monday,0,Rainy,14,10,Afternoon,22,25,Night
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,740,1,10844,2019,9,5,Thursday,0,Rainy,8,25,Morning,20,45,Night
Air India,Mumbai,Hyderabad,BOM → JDH → DEL → HYD,845,2,22619,2019,6,3,Monday,0,Rainy,9,40,Morning,23,45,Night
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,520,1,8625,2019,5,27,Monday,0,Summer,10,35,Morning,19,15,Evening
IndiGo,Banglore,Delhi,BLR → DEL,165,0,4777,2019,3,24,Sunday,1,Summer,6,0,Early Morning,8,45,Morning
IndiGo,Delhi,Cochin,DEL → COK,195,0,5000,2019,6,21,Friday,0,Rainy,5,35,Early Morning,8,50,Morning
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,875,1,13731,2019,5,24,Friday,0,Summer,14,5,Afternoon,4,40,Early Morning
IndiGo,Banglore,Delhi,BLR → DEL,170,0,3943,2019,3,4,Monday,0,Summer,22,10,Night,1,0,Late Night
Jet Airways,Banglore,Delhi,BLR → BOM → DEL,845,1,6992,2019,3,21,Thursday,0,Summer,8,55,Morning,23,0,Night
Jet Airways,Delhi,Cochin,DEL → BOM → COK,660,1,14924,2019,12,6,Friday,0,Winter,8,0,Morning,19,0,Evening
Jet Airways,Delhi,Cochin,DEL → BOM → COK,620,1,18371,2019,6,27,Thursday,0,Rainy,2,15,Late Night,12,35,Afternoon
IndiGo,Chennai,Kolkata,MAA → CCU,140,0,7295,2019,3,3,Sunday,1,Summer,19,35,Evening,21,55,Night
IndiGo,Kolkata,Banglore,CCU → HYD → BLR,335,1,4150,2019,3,24,Sunday,1,Summer,4,15,Early Morning,9,50,Morning
IndiGo,Delhi,Cochin,DEL → COK,195,0,5601,2019,3,6,Wednesday,0,Summer,5,35,Early Morning,8,50,Morning
Air India,Kolkata,Banglore,CCU → GAU → DEL → BLR,1385,2,14960,2019,5,21,Tuesday,0,Summer,9,50,Morning,8,55,Morning
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,570,1,13377,2019,6,6,Thursday,0,Rainy,16,0,Evening,1,30,Late Night
IndiGo,Mumbai,Hyderabad,BOM → HYD,85,0,3342,2019,3,21,Thursday,0,Summer,12,0,Afternoon,13,25,Afternoon
Jet Airways,Banglore,Delhi,BLR → DEL,175,0,8016,2019,6,6,Thursday,0,Rainy,11,10,Morning,14,5,Afternoon
Jet Airways,Banglore,Delhi,BLR → BOM → DEL,1035,1,16736,2019,6,3,Monday,0,Rainy,5,45,Early Morning,23,0,Night
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1350,1,10031,2019,3,24,Sunday,1,Summer,21,10,Night,19,40,Evening
Air India,Delhi,Cochin,DEL → BLR → COK,705,1,7258,2019,4,21,Sunday,1,Summer,20,30,Night,8,15,Morning
Jet Airways,Banglore,Delhi,BLR → DEL,165,0,4030,2019,5,15,Wednesday,0,Summer,6,0,Early Morning,8,45,Morning
Air India,Delhi,Cochin,DEL → CCU → BOM → COK,1730,2,13381,2019,6,24,Monday,0,Rainy,14,25,Afternoon,19,15,Evening
Jet Airways,Delhi,Cochin,DEL → AMD → BOM → COK,1760,2,16704,2019,5,24,Friday,0,Summer,23,5,Night,4,25,Early Morning
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,720,1,13587,2019,6,24,Monday,0,Rainy,9,0,Morning,21,0,Night
Jet Airways,Mumbai,Hyderabad,BOM → HYD,85,0,5678,2019,5,24,Friday,0,Summer,2,55,Late Night,4,20,Early Morning
IndiGo,Mumbai,Hyderabad,BOM → HYD,90,0,2754,2019,3,6,Wednesday,0,Summer,1,40,Late Night,3,10,Late Night
Vistara,Banglore,Delhi,BLR → DEL,170,0,4668,2019,1,5,Saturday,1,Winter,9,45,Morning,12,35,Afternoon
Air Asia,Kolkata,Banglore,CCU → BLR,150,0,4107,2019,6,21,Friday,0,Rainy,19,55,Evening,22,25,Night
IndiGo,Delhi,Cochin,DEL → BOM → COK,965,1,5894,2019,12,6,Friday,0,Winter,4,55,Early Morning,21,0,Night
Jet Airways,Delhi,Cochin,DEL → BOM → COK,655,1,10262,2019,6,6,Thursday,0,Rainy,17,30,Evening,4,25,Early Morning
Air Asia,Delhi,Cochin,DEL → BLR → COK,865,1,6451,2019,4,27,Saturday,1,Summer,16,45,Evening,7,10,Early Morning
Air India,Delhi,Cochin,DEL → HYD → MAA → COK,1420,2,10975,2019,6,27,Thursday,0,Rainy,9,45,Morning,9,25,Morning
Air Asia,Delhi,Cochin,DEL → BLR → COK,625,1,11410,2019,6,6,Thursday,0,Rainy,20,45,Night,7,10,Early Morning
SpiceJet,Kolkata,Banglore,CCU → BLR,155,0,3841,2019,1,5,Saturday,1,Winter,6,55,Early Morning,9,30,Morning
Air India,Kolkata,Banglore,CCU → BOM → BLR,545,1,8891,2019,9,5,Thursday,0,Rainy,9,25,Morning,18,30,Evening
Air India,Banglore,Delhi,BLR → DEL,180,0,4441,2019,9,4,Wednesday,0,Rainy,5,45,Early Morning,8,45,Morning
Jet Airways,Kolkata,Banglore,CCU → BOM → BLR,1345,1,10031,2019,3,24,Sunday,1,Summer,19,45,Evening,18,10,Evening
IndiGo,Banglore,Delhi,BLR → DEL,170,0,4823,2019,12,4,Wednesday,0,Winter,13,0,Afternoon,15,50,Afternoon
Air India,Kolkata,Banglore,CCU → BOM → BLR,545,1,8576,2019,5,24,Friday,0,Summer,9,25,Morning,18,30,Evening
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1595,1,12373,2019,5,18,Saturday,1,Summer,10,0,Morning,12,35,Afternoon
Air India,Kolkata,Banglore,CCU → BOM → GOI → BLR,1210,2,11432,2019,5,21,Tuesday,0,Summer,9,25,Morning,5,35,Early Morning
IndiGo,Mumbai,Hyderabad,BOM → HYD,90,0,3175,2019,6,15,Saturday,1,Rainy,16,55,Evening,18,25,Evening
IndiGo,Kolkata,Banglore,CCU → BLR,165,0,4804,2019,12,5,Thursday,0,Winter,9,35,Morning,12,20,Afternoon
Jet Airways,Delhi,Cochin,DEL → JAI → BOM → COK,1615,2,13014,2019,6,27,Thursday,0,Rainy,9,40,Morning,12,35,Afternoon
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,910,1,7563,2019,6,3,Monday,0,Rainy,7,10,Early Morning,22,20,Night
SpiceJet,Kolkata,Banglore,CCU → BLR,145,0,3873,2019,6,27,Thursday,0,Rainy,9,0,Morning,11,25,Morning
IndiGo,Delhi,Cochin,DEL → HYD → COK,780,1,6282,2019,5,21,Tuesday,0,Summer,11,55,Morning,0,55,Late Night
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,630,1,11200,2019,1,6,Sunday,1,Winter,8,30,Morning,19,0,Evening
Vistara,Banglore,Delhi,BLR → DEL,165,0,5613,2019,4,24,Wednesday,0,Summer,19,30,Evening,22,15,Night
IndiGo,Delhi,Cochin,DEL → COK,195,0,5601,2019,9,6,Friday,0,Rainy,14,20,Afternoon,17,35,Evening
Jet Airways,Delhi,Cochin,DEL → BOM → COK,1355,1,10262,2019,6,15,Saturday,1,Rainy,14,0,Afternoon,12,35,Afternoon
IndiGo,Banglore,Delhi,BLR → DEL,175,0,14306,2019,1,3,Thursday,0,Winter,20,0,Night,22,55,Night
Jet Airways,Delhi,Cochin,DEL → BOM → COK,715,1,18371,2019,6,27,Thursday,0,Rainy,7,5,Early Morning,19,0,Evening
Air India,Delhi,Cochin,DEL → CCU → BOM → COK,1380,2,13591,2019,5,18,Saturday,1,Summer,20,15,Night,19,15,Evening
IndiGo,Banglore,Delhi,BLR → DEL,170,0,3749,2019,5,27,Monday,0,Summer,22,10,Night,1,0,Late Night
Air Asia,Kolkata,Banglore,CCU → IXR → DEL → BLR,500,2,6810,2019,6,6,Thursday,0,Rainy,15,10,Afternoon,23,30,Night
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,560,1,7485,2019,5,21,Tuesday,0,Summer,11,40,Morning,21,0,Night
Air India,Kolkata,Banglore,CCU → BLR,150,0,5510,2019,5,27,Monday,0,Summer,14,15,Afternoon,16,45,Evening
Multiple carriers,Delhi,Cochin,DEL → HYD → COK,540,1,6723,2019,6,24,Monday,0,Rainy,7,10,Early Morning,16,10,Evening
Multiple carriers,Delhi,Cochin,DEL → BOM → COK,450,1,8307,2019,3,21,Thursday,0,Summer,8,0,Morning,15,30,Afternoon
GoAir,Delhi,Cochin,DEL → HYD → COK,460,1,6146,2019,4,21,Sunday,1,Summer,5,55,Early Morning,13,35,Afternoon
